Time (s),Raw,Delta,Theta,Alpha,Beta,Gamma
0.30455565452575684,-2626.76,31.78,32.74,12.19,12.85,7.97
0.5331449508666992,-3642.09,22.65,38.24,20.49,11.22,3.87
1.090496301651001,4280.5,30.09,40.32,16.67,7.21,2.64
1.5901565551757812,-199.27,29.52,39.65,16.71,7.62,3.14
2.0247673988342285,303.9,27.31,36.87,17.09,9.88,4.84
2.573270559310913,-1618.2,26.11,21.69,17.27,18.18,11.46
3.0690033435821533,-1620.28,42.26,28.07,16.47,9.7,2.6
3.6214730739593506,3964.57,36.03,31.36,19.55,7.74,3.47
4.063209295272827,-9570.56,35.86,45.78,10.59,4.68,2.31
4.61460018157959,-1818.82,37.57,43.17,10.55,4.7,2.85
5.057114601135254,281.98,35.4,40.16,12.12,5.97,4.48
5.610015392303467,319.43,30.74,34.48,13.37,11.57,6.02
6.052082061767578,-1667.49,26.55,39.48,10.28,10.71,8.62
6.603060007095337,1424.16,12.11,44.15,26.69,8.2,6.33
7.043558359146118,688.45,10.68,36.89,25.89,14.9,7.73
7.644423484802246,-2040.28,17.46,32.13,14.8,7.65,24.33
8.085359334945679,-1942.12,7.73,16.47,17.8,27.37,22.11
8.530997276306152,-8530.74,30.89,52.42,3.79,6.07,4.69
9.080528974533081,-100.04,30.01,52.93,3.75,6.39,4.72
9.630266427993774,-1708.02,30.84,51.29,3.84,6.66,4.96
10.058067798614502,760.86,30.08,47.44,4.41,8.83,6.21
10.608750581741333,677.44,26.33,41.9,7.69,12.28,7.76
11.048258066177368,-177.16,18.07,33.91,21.11,14.08,8.44
11.58649206161499,694.46,15.36,23.15,28.07,16.45,11.35
12.028724193572998,-1412.35,25.61,22.58,14.59,17.11,13.36
12.584386110305786,308.26,17.73,15.58,28.63,18.38,13.16
13.120464086532593,257.5,11.04,13.51,21.69,28.72,17.62
13.56212329864502,1.29,4.89,27.79,25.33,23.92,12.42
14.1151602268219,370.17,9.27,27.27,27.02,19.63,10.72
14.558874130249023,640.94,16.13,20.65,24.03,17.45,15.09
15.112023115158081,-125.7,8.24,21.23,25.47,18.96,15.56
15.569042682647705,-8.0,3.05,19.54,27.11,24.54,16.07
16.123094081878662,-225.1,3.26,31.8,18.6,14.25,25.52
16.56937074661255,-104.18,3.4,20.8,20.62,20.41,26.21
17.028680324554443,-333.99,5.33,11.84,27.56,24.41,22.91
17.582690715789795,361.6,6.68,9.81,28.39,26.91,18.5
18.023662328720093,17.22,3.07,14.51,43.63,17.43,14.08
18.58158564567566,-252.96,6.2,14.8,30.62,24.29,13.61
19.023626804351807,600.86,16.58,22.2,21.05,22.3,12.0
19.58252215385437,461.89,14.31,28.82,17.04,22.92,10.41
20.1302707195282,69.29,13.83,16.68,30.27,17.73,14.29
20.573363780975342,77.41,6.06,23.18,21.14,18.63,18.85
21.125731229782104,87.35,17.02,15.47,22.35,16.46,18.13
21.55355215072632,-139.23,6.39,22.69,17.04,25.3,20.32
22.109944343566895,-124.31,2.13,9.88,36.35,24.03,19.99
22.552184104919434,308.44,11.79,11.23,26.6,22.49,18.36
23.101112842559814,777.47,18.26,10.65,20.5,23.6,15.95
23.54712200164795,-124.12,10.11,7.99,29.2,24.91,13.26
24.09822106361389,-212.39,5.93,10.46,29.88,30.19,11.48
24.523848056793213,195.14,4.13,8.28,25.2,34.14,18.25
25.07405972480774,338.05,5.25,21.7,17.35,29.0,14.51
25.62708830833435,47.87,4.13,12.1,19.07,40.4,16.46
26.068967580795288,-270.54,4.66,14.15,21.02,33.65,12.84
26.619511127471924,33.13,11.76,7.77,24.36,28.51,12.71
27.062448978424072,42.92,6.41,15.58,14.69,30.77,15.76
27.613137006759644,-268.62,11.14,15.69,13.04,40.01,10.42
28.05453848838806,175.62,6.15,19.49,26.95,26.11,12.15
28.605393171310425,525.56,10.97,12.58,28.48,24.69,14.79
29.045454502105713,384.84,9.27,6.81,34.52,18.43,15.47
29.59603452682495,126.31,5.97,7.13,32.96,27.5,14.83
30.03710174560547,303.57,7.43,9.25,16.87,30.48,22.53
30.57178831100464,-148.16,3.12,7.18,27.63,39.86,14.76
31.122210264205933,515.44,7.37,14.96,26.57,29.59,15.14
31.566600799560547,-1747.41,16.99,40.7,20.05,12.12,7.55
32.11359643936157,-1060.0,21.14,32.91,22.92,13.82,6.01
32.555954933166504,220.15,22.08,31.94,18.58,15.61,6.5
33.10742926597595,219.53,10.16,18.4,18.22,31.52,10.88
33.54682731628418,5896.03,17.72,59.05,17.41,4.07,1.08
34.097498655319214,2313.73,19.96,56.9,16.09,4.22,1.64
34.53851366043091,-11596.19,33.02,56.51,7.88,1.74,0.62
35.09022641181946,197.28,30.21,51.54,10.63,4.57,1.98
35.53185701370239,1122.06,21.85,47.34,13.53,9.79,4.57
36.082266330718994,2554.34,40.75,46.84,7.32,2.76,1.56
36.52233171463013,-517.32,37.29,44.28,7.9,5.13,3.34
37.073975563049316,-11109.38,45.33,23.98,8.92,15.65,3.86
37.627442598342896,2784.86,27.24,15.47,10.0,29.61,11.69
38.066118001937866,-14207.06,40.82,38.71,4.36,8.26,5.15
38.61715769767761,838.59,33.63,31.7,5.51,13.06,9.97
39.056734561920166,-1027.61,27.15,24.08,9.03,15.46,14.77
39.606801986694336,-38.52,13.29,28.35,5.38,13.97,29.37
40.04994750022888,1013.52,8.67,21.83,6.4,16.99,28.07
